nhdplus_comid,gage_count,historical_max_flood_return_period_years,max_matched_event_return_period_years,record_years_max,distinct_matched_rainfall_flood_event_count,maximum_matched_flood_return_period_years,maximum_matched_peak_cfs_per_sqmi,median_rainfall_to_flood_lag_hours,distinct_major_rainfall_flood_event_count,historical_flood_class,major_event_count_class
18563373,1,182.14386132024876,30.688044597066305,84,10,30.688044597066305,80.52805280528052,-8.0,4,≥100 years,3–4
18563403,1,182.14386132024876,30.688044597066305,84,10,30.688044597066305,80.52805280528052,-8.0,4,≥100 years,3–4
18563449,1,18.0,,17,0,,,,0,10–<25 years,0
18563487,1,182.14386132024876,30.688044597066305,84,10,30.688044597066305,80.52805280528052,-8.0,4,≥100 years,3–4
18564589,1,182.14386132024876,30.688044597066305,84,10,30.688044597066305,80.52805280528052,-8.0,4,≥100 years,3–4
18564605,1,182.14386132024876,30.688044597066305,84,10,30.688044597066305,80.52805280528052,-8.0,4,≥100 years,3–4
18564617,1,182.14386132024876,30.688044597066305,84,10,30.688044597066305,80.52805280528052,-8.0,4,≥100 years,3–4
18565027,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18565055,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18565155,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18565157,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18565189,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18565245,1,45.06082690472417,12.30586014152111,55,1,12.30586014152111,72.11538461538461,8.0,1,25–<50 years,1
18565253,1,45.06082690472417,12.30586014152111,55,1,12.30586014152111,72.11538461538461,8.0,1,25–<50 years,1
18565277,1,45.06082690472417,12.30586014152111,55,1,12.30586014152111,72.11538461538461,8.0,1,25–<50 years,1
18565397,2,45.06082690472417,12.30586014152111,55,6,12.30586014152111,72.11538461538461,9.0,2,25–<50 years,2
18565407,1,11.0,11.0,10,5,11.0,64.07355021216408,10.0,1,10–<25 years,1
18565417,1,11.0,11.0,10,5,11.0,64.07355021216408,10.0,1,10–<25 years,1
18565449,1,11.0,11.0,10,5,11.0,64.07355021216408,10.0,1,10–<25 years,1
18565485,2,93.81998805845404,93.81998805845404,52,10,93.81998805845404,195.3028430160692,-4.75,3,50–<100 years,3–4
18565493,1,11.0,11.0,10,5,11.0,64.07355021216408,10.0,1,10–<25 years,1
18565501,2,93.81998805845404,93.81998805845404,52,10,93.81998805845404,195.3028430160692,-4.75,3,50–<100 years,3–4
18565557,1,14.0,14.0,13,3,14.0,654.320987654321,-20.0,1,10–<25 years,1
18565565,1,93.81998805845404,93.81998805845404,52,9,93.81998805845404,195.3028430160692,-9.0,2,50–<100 years,2
18565587,1,93.81998805845404,93.81998805845404,52,9,93.81998805845404,195.3028430160692,-9.0,2,50–<100 years,2
18565595,1,93.81998805845404,93.81998805845404,52,9,93.81998805845404,195.3028430160692,-9.0,2,50–<100 years,2
18565603,1,93.81998805845404,93.81998805845404,52,9,93.81998805845404,195.3028430160692,-9.0,2,50–<100 years,2
18565607,1,93.81998805845404,93.81998805845404,52,9,93.81998805845404,195.3028430160692,-9.0,2,50–<100 years,2
18565621,1,93.81998805845404,93.81998805845404,52,9,93.81998805845404,195.3028430160692,-9.0,2,50–<100 years,2
18565623,1,93.81998805845404,93.81998805845404,52,9,93.81998805845404,195.3028430160692,-9.0,2,50–<100 years,2
18565629,1,93.81998805845404,93.81998805845404,52,9,93.81998805845404,195.3028430160692,-9.0,2,50–<100 years,2
18565635,1,32.82684520091489,30.026561435437223,36,12,30.026561435437223,361.3138686131387,-9.5,3,25–<50 years,3–4
18565645,1,14.0,14.0,13,3,14.0,654.320987654321,-20.0,1,10–<25 years,1
18565649,2,93.81998805845404,93.81998805845404,52,16,93.81998805845404,361.3138686131387,-9.0,3,50–<100 years,3–4
18565667,1,32.82684520091489,30.026561435437223,36,12,30.026561435437223,361.3138686131387,-9.5,3,25–<50 years,3–4
18565669,1,14.0,14.0,13,3,14.0,654.320987654321,-20.0,1,10–<25 years,1
18565683,1,14.0,14.0,13,3,14.0,654.320987654321,-20.0,1,10–<25 years,1
18565715,1,130.1144620602995,14.701636300561097,84,17,14.701636300561097,47.909604519774014,10.5,3,≥100 years,3–4
18565735,1,32.82684520091489,30.026561435437223,36,12,30.026561435437223,361.3138686131387,-9.5,3,25–<50 years,3–4
18565741,1,14.0,14.0,13,3,14.0,654.320987654321,-20.0,1,10–<25 years,1
18565743,1,32.82684520091489,30.026561435437223,36,12,30.026561435437223,361.3138686131387,-9.5,3,25–<50 years,3–4
18565749,1,32.82684520091489,30.026561435437223,36,12,30.026561435437223,361.3138686131387,-9.5,3,25–<50 years,3–4
18565751,1,32.82684520091489,30.026561435437223,36,12,30.026561435437223,361.3138686131387,-9.5,3,25–<50 years,3–4
18565755,1,14.0,14.0,13,3,14.0,654.320987654321,-20.0,1,10–<25 years,1
18565759,1,32.82684520091489,30.026561435437223,36,12,30.026561435437223,361.3138686131387,-9.5,3,25–<50 years,3–4
18565773,1,14.0,14.0,13,3,14.0,654.320987654321,-20.0,1,10–<25 years,1
18565803,1,32.82684520091489,30.026561435437223,36,12,30.026561435437223,361.3138686131387,-9.5,3,25–<50 years,3–4
18565837,1,32.82684520091489,30.026561435437223,36,12,30.026561435437223,361.3138686131387,-9.5,3,25–<50 years,3–4
18565853,1,14.0,14.0,13,3,14.0,654.320987654321,-20.0,1,10–<25 years,1
18565921,2,12.0,11.0,11,3,11.0,320.6106870229008,-11.0,1,10–<25 years,1
18565949,1,11.0,11.0,10,3,11.0,320.6106870229008,-11.0,1,10–<25 years,1
18565951,1,11.0,11.0,10,3,11.0,320.6106870229008,-11.0,1,10–<25 years,1
18565953,1,11.0,11.0,10,3,11.0,320.6106870229008,-11.0,1,10–<25 years,1
18565961,1,11.0,11.0,10,3,11.0,320.6106870229008,-11.0,1,10–<25 years,1
18565981,1,1112.68169267295,1112.68169267295,46,9,1112.68169267295,698.744769874477,-12.0,2,≥100 years,2
18566011,1,1112.68169267295,1112.68169267295,46,9,1112.68169267295,698.744769874477,-12.0,2,≥100 years,2
18566013,2,218.45523093476905,218.45523093476905,37,10,218.45523093476905,466.2813102119461,-9.0,2,≥100 years,2
18566017,1,1112.68169267295,1112.68169267295,46,9,1112.68169267295,698.744769874477,-12.0,2,≥100 years,2
18566021,1,218.45523093476905,218.45523093476905,37,10,218.45523093476905,466.2813102119461,-7.375,2,≥100 years,2
18566029,1,218.45523093476905,218.45523093476905,37,10,218.45523093476905,466.2813102119461,-7.375,2,≥100 years,2
18566031,1,1112.68169267295,1112.68169267295,46,9,1112.68169267295,698.744769874477,-12.0,2,≥100 years,2
18566037,1,1112.68169267295,1112.68169267295,46,9,1112.68169267295,698.744769874477,-12.0,2,≥100 years,2
18566045,1,1112.68169267295,1112.68169267295,46,9,1112.68169267295,698.744769874477,-12.0,2,≥100 years,2
18566051,1,218.45523093476905,218.45523093476905,37,10,218.45523093476905,466.2813102119461,-7.375,2,≥100 years,2
18566053,1,218.45523093476905,218.45523093476905,37,10,218.45523093476905,466.2813102119461,-7.375,2,≥100 years,2
18566059,1,218.45523093476905,218.45523093476905,37,10,218.45523093476905,466.2813102119461,-7.375,2,≥100 years,2
18566063,1,1112.68169267295,1112.68169267295,46,9,1112.68169267295,698.744769874477,-12.0,2,≥100 years,2
18566067,1,1112.68169267295,1112.68169267295,46,9,1112.68169267295,698.744769874477,-12.0,2,≥100 years,2
18566069,1,218.45523093476905,218.45523093476905,37,10,218.45523093476905,466.2813102119461,-7.375,2,≥100 years,2
18566081,1,218.45523093476905,218.45523093476905,37,10,218.45523093476905,466.2813102119461,-7.375,2,≥100 years,2
18566089,1,218.45523093476905,218.45523093476905,37,10,218.45523093476905,466.2813102119461,-7.375,2,≥100 years,2
18566093,2,1112.68169267295,1112.68169267295,46,13,1112.68169267295,698.744769874477,-10.0,3,≥100 years,3–4
18566095,2,1112.68169267295,1112.68169267295,46,13,1112.68169267295,698.744769874477,-10.0,3,≥100 years,3–4
18566097,2,1112.68169267295,1112.68169267295,46,13,1112.68169267295,698.744769874477,-10.0,3,≥100 years,3–4
18566105,2,1112.68169267295,1112.68169267295,46,13,1112.68169267295,698.744769874477,-10.0,3,≥100 years,3–4
18566113,1,1000000.0,1000000.0,20,8,1000000.0,485.3658536585367,-11.125,2,≥100 years,2
18566125,1,27.02007715312868,27.02007715312868,29,9,27.02007715312868,136.20689655172413,-4.5,2,25–<50 years,2
18566131,1,27.02007715312868,27.02007715312868,29,9,27.02007715312868,136.20689655172413,-4.5,2,25–<50 years,2
18566133,1,27.02007715312868,27.02007715312868,29,9,27.02007715312868,136.20689655172413,-4.5,2,25–<50 years,2
18566151,1,1000000.0,1000000.0,20,8,1000000.0,485.3658536585367,-11.125,2,≥100 years,2
18566171,3,38.24666012887121,33.465831439099546,40,12,33.465831439099546,196.11940298507463,-7.375,3,25–<50 years,3–4
18566179,3,38.24666012887121,33.465831439099546,40,12,33.465831439099546,196.11940298507463,-7.375,3,25–<50 years,3–4
18566183,3,38.24666012887121,33.465831439099546,40,12,33.465831439099546,196.11940298507463,-7.375,3,25–<50 years,3–4
18566191,3,38.24666012887121,33.465831439099546,40,12,33.465831439099546,196.11940298507463,-7.375,3,25–<50 years,3–4
18566197,7,1000000.0,1000000.0,40,17,1000000.0,668.6567164179104,-8.416666666666668,7,≥100 years,5+
18566201,5,287.10821210941697,287.10821210941697,40,14,287.10821210941697,311.53846153846155,-8.0,6,≥100 years,5+
18566277,2,45.06082690472417,12.30586014152111,55,6,12.30586014152111,72.11538461538461,9.0,2,25–<50 years,2
18566299,1,14.0,14.0,13,3,14.0,654.320987654321,-20.0,1,10–<25 years,1
18566301,1,14.0,14.0,13,3,14.0,654.320987654321,-20.0,1,10–<25 years,1
18566313,1,93.81998805845404,93.81998805845404,52,9,93.81998805845404,195.3028430160692,-9.0,2,50–<100 years,2
18566315,1,93.81998805845404,93.81998805845404,52,9,93.81998805845404,195.3028430160692,-9.0,2,50–<100 years,2
18566317,1,130.1144620602995,14.701636300561097,84,17,14.701636300561097,47.909604519774014,10.5,3,≥100 years,3–4
18566327,1,1112.68169267295,1112.68169267295,46,9,1112.68169267295,698.744769874477,-12.0,2,≥100 years,2
18566329,1,1112.68169267295,1112.68169267295,46,9,1112.68169267295,698.744769874477,-12.0,2,≥100 years,2
18566333,3,1000000.0,1000000.0,32,10,1000000.0,485.3658536585367,-11.0,4,≥100 years,3–4
18566335,1,11.0,5.5,10,3,5.5,668.6567164179104,-6.0,0,10–<25 years,0
18566337,1,14.0,14.0,13,3,14.0,654.320987654321,-20.0,1,10–<25 years,1
18566389,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18566393,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18566395,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18566399,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18566403,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18566413,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18566417,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18566421,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18566425,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18566427,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18566435,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18566443,1,19.0,19.0,18,5,19.0,188.08864265927977,-1.75,1,10–<25 years,1
18566549,1,27.02007715312868,27.02007715312868,29,9,27.02007715312868,136.20689655172413,-4.5,2,25–<50 years,2
18566551,1,27.02007715312868,27.02007715312868,29,9,27.02007715312868,136.20689655172413,-4.5,2,25–<50 years,2
18566553,3,38.24666012887121,33.465831439099546,40,12,33.465831439099546,196.11940298507463,-7.375,3,25–<50 years,3–4
18567267,1,130.1144620602995,14.701636300561097,84,17,14.701636300561097,47.909604519774014,10.5,3,≥100 years,3–4
18567271,1,130.1144620602995,14.701636300561097,84,17,14.701636300561097,47.909604519774014,10.5,3,≥100 years,3–4
18567281,1,130.1144620602995,14.701636300561097,84,17,14.701636300561097,47.909604519774014,10.5,3,≥100 years,3–4
18567329,1,27.02007715312868,27.02007715312868,29,9,27.02007715312868,136.20689655172413,-4.5,2,25–<50 years,2
18567389,1,71.53478995802288,26.10920420473863,31,2,26.10920420473863,174.85029940119762,-7.875,1,50–<100 years,1
18578617,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18578635,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18578675,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18578681,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18578689,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18578705,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18578755,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18578815,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18578829,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18578867,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18578959,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18578989,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18579499,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579537,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579585,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579625,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579635,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579639,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579727,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579763,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579769,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579809,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579837,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579877,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579905,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579909,1,30.445069160143994,,20,0,,,,0,25–<50 years,0
18579913,1,30.445069160143994,,20,0,,,,0,25–<50 years,0
18579925,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579927,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579931,1,30.445069160143994,,20,0,,,,0,25–<50 years,0
18579933,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579959,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579969,1,30.445069160143994,,20,0,,,,0,25–<50 years,0
18579973,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18579981,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18580009,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18580015,1,24.526057304295577,24.526057304295577,35,7,24.526057304295577,115.84158415841584,-8.0,1,10–<25 years,1
18580153,1,159.01305572974644,61.475867302545744,59,15,61.475867302545744,190.0108577633008,-8.0,1,≥100 years,1
18580373,1,18.0,,16,0,,,,0,10–<25 years,0
18580375,1,18.0,,16,0,,,,0,10–<25 years,0
18580405,3,30.445069160143994,,20,0,,,,0,25–<50 years,0
18580409,2,18.0,,16,0,,,,0,10–<25 years,0
18580413,3,30.445069160143994,,20,0,,,,0,25–<50 years,0
18580415,3,30.445069160143994,,20,0,,,,0,25–<50 years,0
18580417,1,30.445069160143994,,20,0,,,,0,25–<50 years,0
18580419,1,30.445069160143994,,20,0,,,,0,25–<50 years,0
18580425,1,30.445069160143994,,20,0,,,,0,25–<50 years,0
18580427,1,30.445069160143994,,20,0,,,,0,25–<50 years,0
18580431,1,12.0,,10,0,,,,0,10–<25 years,0
18580437,2,18.0,,16,0,,,,0,10–<25 years,0
18580441,2,18.0,,16,0,,,,0,10–<25 years,0
18580443,1,12.0,,10,0,,,,0,10–<25 years,0
18580465,1,12.0,,10,0,,,,0,10–<25 years,0
18580467,1,12.0,,10,0,,,,0,10–<25 years,0
18584023,1,18.0,,16,0,,,,0,10–<25 years,0
18584027,1,18.0,,16,0,,,,0,10–<25 years,0
18584029,1,18.0,,16,0,,,,0,10–<25 years,0
18584031,1,18.0,,16,0,,,,0,10–<25 years,0
18584033,1,18.0,,16,0,,,,0,10–<25 years,0
18584037,3,30.445069160143994,,20,0,,,,0,25–<50 years,0
18584039,3,30.445069160143994,,20,0,,,,0,25–<50 years,0
18584041,2,18.0,,16,0,,,,0,10–<25 years,0
18588572,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588580,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588584,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588620,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588654,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588672,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588690,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588694,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588712,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588738,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588770,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588796,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588808,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588818,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588844,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588856,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588870,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588884,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588886,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588890,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
18588894,1,26.63792718310216,26.63792718310216,33,8,26.63792718310216,202.30769230769232,-7.0,3,25–<50 years,3–4
