station_id,raw_file,status,rows_parsed,error
01-0008,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0008_pds_frequency.csv,reparsed_successfully,570,
01-0063,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0063_pds_frequency.csv,reparsed_successfully,570,
01-0140,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0140_pds_frequency.csv,reparsed_successfully,570,
01-0148,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0148_pds_frequency.csv,reparsed_successfully,570,
01-0178,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0178_pds_frequency.csv,reparsed_successfully,570,
01-0184,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0184_pds_frequency.csv,reparsed_successfully,570,
01-0252,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0252_pds_frequency.csv,reparsed_successfully,570,
01-0272,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0272_pds_frequency.csv,reparsed_successfully,570,
01-0338,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0338_pds_frequency.csv,reparsed_successfully,570,
01-0369,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0369_pds_frequency.csv,reparsed_successfully,570,
01-0377,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0377_pds_frequency.csv,reparsed_successfully,570,
01-0390,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0390_pds_frequency.csv,reparsed_successfully,570,
01-0395,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0395_pds_frequency.csv,reparsed_successfully,570,
01-0402,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0402_pds_frequency.csv,reparsed_successfully,570,
01-0422,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0422_pds_frequency.csv,reparsed_successfully,570,
01-0425,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0425_pds_frequency.csv,reparsed_successfully,570,
01-0427,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0427_pds_frequency.csv,reparsed_successfully,570,
01-0430,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0430_pds_frequency.csv,reparsed_successfully,570,
01-0440,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0440_pds_frequency.csv,reparsed_successfully,570,
01-0505,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0505_pds_frequency.csv,reparsed_successfully,570,
01-0546,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0546_pds_frequency.csv,reparsed_successfully,570,
01-0583,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0583_pds_frequency.csv,reparsed_successfully,570,
01-0616,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0616_pds_frequency.csv,reparsed_successfully,570,
01-0655,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0655_pds_frequency.csv,reparsed_successfully,570,
