EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
77891,DEKALB CO.,VALLEY HEAD,01/10/2008,1930,Flash Flood, , ,0,0,5000,0,AL,CST-6, ,13875,C,49,HUN,0,0,Emergency Manager,Heavy Rain, , ,0.36,NNW,0.31,N,VALLEY HEAD,01/10/2008,2030,34.5746,-85.6329,34.5739,-85.6302,"Heavy rainfall from training thunderstorms produced flood waters of one foot in depth on Lowery Road near Hammondville.","A low pressure system moved northeast from eastern Kansas into the Great Lakes region, while rapidly deepening.  Numerous strong to severe thunderstorms developed ahead of a strong trailing cold front which pushed in northwest Alabama during the afternoon hours and into northwestern Georgia after midnight. Some of these severe storms produced isolated reports of hail and flash flooding.",1
75623,MOBILE CO.,TANNER WILLIAMS,01/31/2008,1940,Flash Flood, , ,0,0,0,0,AL,CST-6, ,13545,C,97,MOB,0,0,Emergency Manager,Heavy Rain, , ,0,N,0,N,MOFFET,01/31/2008,2100,30.72,-88.37,30.85,-88.38,"","Heavy rains of 3 to 5 inches in the eastern part of Escambia County flooded secondary roads which had to be closed for an hour. Additional heavy rains of 4 to 5 inches caused secondary roads to also be closed in northern Baldwin County for an hour. Street flooding was also observed west of Big Creek Lake in Mobile County where some roads were impassable.",2
75619,ESCAMBIA CO.,BOYKIN,01/31/2008,2100,Flash Flood, , ,0,0,0,0,AL,CST-6, ,13545,C,53,MOB,0,0,Emergency Manager,Heavy Rain, , ,0,N,0,N,DIXIE,01/31/2008,2200,31.15,-86.88,31.15,-86.73,"","Heavy rains of 3 to 5 inches in the eastern part of Escambia County flooded secondary roads which had to be closed for an hour. Additional heavy rains of 4 to 5 inches caused secondary roads to also be closed in northern Baldwin County for an hour. Street flooding was also observed west of Big Creek Lake in Mobile County where some roads were impassable.",3
75622,BALDWIN CO.,STOCKTON,01/31/2008,2100,Flash Flood, , ,0,0,0,0,AL,CST-6, ,13545,C,3,MOB,0,0,Emergency Manager,Heavy Rain, , ,0,N,0,N,PERDIDO,01/31/2008,2200,31,-87.85,31.02,-87.63,"","Heavy rains of 3 to 5 inches in the eastern part of Escambia County flooded secondary roads which had to be closed for an hour. Additional heavy rains of 4 to 5 inches caused secondary roads to also be closed in northern Baldwin County for an hour. Street flooding was also observed west of Big Creek Lake in Mobile County where some roads were impassable.",4
83689,MARSHALL CO.,ARAB,02/06/2008,634,Flash Flood, , ,0,0,27000,0,AL,CST-6, ,14728,C,95,HUN,0,0,Emergency Manager,Heavy Rain, , ,1.95,W,1.84,W,ARAB,02/06/2008,734,34.3209,-86.5342,34.3244,-86.5309,"A bridge was reported washed out near Sundown drive one mile west of Arab.  Ankle deep water was reported at a residence 1 mile south of Arab.","The WFO Huntsville County Warning Area experienced the worst tornado outbreak in 19 years on February 6, 2008.  While the number of observed tornadoes was low (4), the area experienced two EF-4 tornadoes, the first time the area has witnessed more than one devastating tornado on the same day since 1974.  ||This event was part of a large tornado outbreak which spanned both February 5th (Super Tuesday) and 6th (Wednesday).  A series of tornadic supercell thunderstorms swept across the Mid-South and Southeast states ahead of a potent cold front.",5
83692,MARSHALL CO.,ALBERTVILLE,02/06/2008,639,Flash Flood, , ,0,0,0,0,AL,CST-6, ,14728,C,95,HUN,0,0,Emergency Manager,Heavy Rain, , ,0.88,NW,0.79,S,LANE,02/06/2008,739,34.2782,-86.2317,34.298,-86.2291,"Flash flooding was reported on several streets in Albertville including Highway 205 and Rose Road.","The WFO Huntsville County Warning Area experienced the worst tornado outbreak in 19 years on February 6, 2008.  While the number of observed tornadoes was low (4), the area experienced two EF-4 tornadoes, the first time the area has witnessed more than one devastating tornado on the same day since 1974.  ||This event was part of a large tornado outbreak which spanned both February 5th (Super Tuesday) and 6th (Wednesday).  A series of tornadic supercell thunderstorms swept across the Mid-South and Southeast states ahead of a potent cold front.",6
90714,LOWNDES CO.,COLLIRENE,03/04/2008,605,Flash Flood, , ,0,0,0,0,AL,CST-6, ,15835,C,85,BMX,0,0,Emergency Manager,Heavy Rain, , ,0.48,SSE,0.61,S,COLLIRENE,03/04/2008,605,32.1734,-86.8273,32.1736,-86.8286,"Residents of a home in the Collirene Community had to be rescued, after becoming trapped in the home due to flash flooding.","An intense upper level disturbance and associated surface cold front helped produce locally heavy rain and isolated severe weather, including two tornadoes, across central Alabama.",7
92348,LAUDERDALE CO.,ROGERSVILLE,04/04/2008,824,Flash Flood, , ,0,0,1000,0,AL,CST-6, ,15463,C,77,HUN,0,0,Emergency Manager,Heavy Rain, , ,0.57,W,0.79,W,ROGERSVILLE,04/04/2008,930,34.83,-87.29,34.8311,-87.2974,"Minor flash flooding occurred in many locations across the Rogersville community.","Numerous strong to severe thunderstorms developed ahead of a cold front across northern Alabama during the morning of April 4th.  Scattered wind damage and isolated tornadoes impacted the area.",8
93019,MOBILE CO.,GRAND BAY,04/05/2008,200,Flash Flood, , ,0,0,15000,0,AL,CST-6, ,16169,C,97,MOB,0,0,Newspaper,Heavy Rain, , ,0,N,0,N,MOBILE BROOKLEY FLD,04/05/2008,700,30.47,-88.35,30.62,-88.05,"","Heavy rainfall fell across the coastal counties on April 5.  The heavy rainfall caused several streets to flood across the area.  Many streets had to be closed because of high water for several hours.  A couple of cars were partially submerged by the high water.  Rainfall totals across the two counties were estimated to be between six and nine inches.  The high water also caused Bayou Sara in Mobile county to rise above flood stage on April 5.  Both the Styx and the Fish rivers in Baldwin counties also rose above flood stage on April 6.  Water approached homes in both counties, but never made it into any of them.",9
93020,BALDWIN CO.,FAIRHOPE,04/05/2008,200,Flash Flood, , ,0,0,10000,0,AL,CST-6, ,16169,C,3,MOB,0,0,Newspaper,Heavy Rain, , ,0,N,5,NE,SEMINOLE,04/05/2008,1000,30.52,-87.9,30.52,-87.48,"","Heavy rainfall fell across the coastal counties on April 5.  The heavy rainfall caused several streets to flood across the area.  Many streets had to be closed because of high water for several hours.  A couple of cars were partially submerged by the high water.  Rainfall totals across the two counties were estimated to be between six and nine inches.  The high water also caused Bayou Sara in Mobile county to rise above flood stage on April 5.  Both the Styx and the Fish rivers in Baldwin counties also rose above flood stage on April 6.  Water approached homes in both counties, but never made it into any of them.",10
