EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5382867,FRANKLIN CO.,COUNTYWIDE,02/05/2004,1345,Flash Flood, , ,0,0,0,0,AL,CST, ,1165949,C,59,HUN,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,1730, , , , ,"Widespread flash flooding occurred with water covering several roads across the county.","",1
5386631,MARION CO.,COUNTYWIDE,02/05/2004,1500,Flash Flood, , ,0,0,5000,0,AL,CST, ,1166458,C,93,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,1700, , , , ,"","Excessive rainfall occurred across several sections of Marion County.  Water covered roadways and several were reported impassable. Doppler radar estimated 3-4 inches of  rainfall.",2
5386632,LAMAR CO.,COUNTYWIDE,02/05/2004,1500,Flash Flood, , ,0,0,5000,0,AL,CST, ,1166459,C,75,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,1700, , , , ,"","Excessive rainfall occurred across several sections of  the county.   Several roads were covered with water and impassable.  Doppler radar estimated 3-4 inches of rainfall.",3
5382868,LAUDERDALE CO.,COUNTYWIDE,02/05/2004,1600,Flash Flood, , ,0,0,0,0,AL,CST, ,1165949,C,77,HUN,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,1930, , , , ,"Widespread flash flooding occurred with several roads with several inches of water covering them countywide.","",4
5382869,COLBERT CO.,COUNTYWIDE,02/05/2004,1600,Flash Flood, , ,0,0,0,0,AL,CST, ,1165949,C,33,HUN,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,1930, , , , ,"Widespread flash flooding occurring with several roads with several inches of water over them across the county.","",5
5385806,LAMAR CO.,COUNTYWIDE,02/05/2004,1830,Flash Flood, , ,0,0,5000,0,AL,CST, ,1166461,C,75,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,2000, , , , ,"","Excessive rainfall occurred across several sections of the county.  Several roads were reported covered with water and impassable.",6
5386633,MARION CO.,COUNTYWIDE,02/05/2004,1830,Flash Flood, , ,0,0,5000,0,AL,CST, ,1166460,C,93,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,2000, , , , ,"","Excessive rainfall occurred across several sections of  the county.  Several roads were covered with water and impassable.",7
5386613,PICKENS CO.,COUNTYWIDE,02/05/2004,1905,Flash Flood, , ,0,0,10000,0,AL,CST, ,1166440,C,107,BMX,0,0,AMATEUR RADIO, , , , , , , ,COUNTYWIDE,02/06/2004,200, , , , ,"","Doppler radar estimated 4 to 8 inches of rainfall across Pickens County in a short period of time.  Several roads were temporarily impassable.  Numerous creeks and streams quickly rose out of their banks and caused flooding.  One railroad tressel was flooded.  One highway bridge was completely washed away.",8
5385807,WALKER CO.,COUNTYWIDE,02/05/2004,2015,Flash Flood, , ,0,0,5000,0,AL,CST, ,1166462,C,127,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,2230, , , , ,"","Excessive rainfall occurred across several sections of the county.  Several roads were reported covered with water and impassable.",9
5385901,PICKENS CO.,COUNTYWIDE,02/05/2004,2030,Flash Flood, , ,0,0,5000,0,AL,CST, ,1166466,C,107,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,2230, , , , ,"","Excessive rainfall occurred across several sections of the county.  Several roads were reported covered with water and impassable.",10
5385810,LAMAR CO.,COUNTYWIDE,02/05/2004,2030,Flash Flood, , ,0,0,5000,0,AL,CST, ,1166465,C,75,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,2230, , , , ,"","Excessive rainfall occurred across several sections of the county.  Several roads were reported covered with water and impassable.",11
5385809,WINSTON CO.,COUNTYWIDE,02/05/2004,2030,Flash Flood, , ,0,0,5000,0,AL,CST, ,1166464,C,133,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,2230, , , , ,"","Excessive rainfall occurred across several sections of the county.  Several roads were reported covered with water and impassable.",12
5385808,MARION CO.,COUNTYWIDE,02/05/2004,2030,Flash Flood, , ,0,0,5000,0,AL,CST, ,1166463,C,93,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,2230, , , , ,"","Excessive rainfall occurred across several sections of the county.  Several roads were reported covered with water and impassable.",13
5385902,TUSCALOOSA CO.,COUNTYWIDE,02/05/2004,2030,Flash Flood, , ,0,0,5000,0,AL,CST, ,1166467,C,125,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,2230, , , , ,"","Excessive rainfall occurred across several sections of the county.  Several roads were reported covered with water and impassable.",14
5386614,SUMTER CO.,COUNTYWIDE,02/05/2004,2045,Flash Flood, , ,0,0,60000,0,AL,CST, ,1166441,C,119,BMX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , ,COUNTYWIDE,02/06/2004,200, , , , ,"","Water was standing in yards and fields in and around Geiger.  Several creeks and streams quickly rose out of their banks causing flooding countywide.  Several roads were temporarily impassable.  A bridge along SR 17 near the Pickens County line was washed out and several other small bridges were washed out.",15
5386622,FAYETTE CO.,COUNTYWIDE,02/05/2004,2100,Flash Flood, , ,0,0,5000,0,AL,CST, ,1166449,C,57,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,2300, , , , ,"","Several inches of rain occurred across Fayette County in a short period of time.  Many roadways were temporarily impassable.",16
5385903,GREENE CO.,COUNTYWIDE,02/05/2004,2130,Flash Flood, , ,0,0,0,0,AL,CST, ,1166468,C,63,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,2355, , , , ,"","Excessive rainfall occurred across several sections of the county.  Several roads were reported covered with water and impassable.",17
5385904,SUMTER CO.,COUNTYWIDE,02/05/2004,2130,Flash Flood, , ,0,0,5000,0,AL,CST, ,1166469,C,119,BMX,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,02/05/2004,2350, , , , ,"","Excessive rainfall occurred across several sections of the county.  Several roads were reported covered with water and impassable.",18
